order_id,order_date,customer_id,customer_age,customer_prefecture,book_title,book_category,unit_price,quantity,total_amount,payment_method,shipping_fee,discount_amount,final_amount
ORD00000025,2023-11-08,CUST000088,65,愛知県,"クラウド技術",技術書,5908,2,11816,コンビニ決済,0,0,11816
ORD00000026,2024-09-06,CUST000643,19,神奈川県,"データベース設計",技術書,3596,4,14384,Amazon Pay,0,0,14384
ORD00000027,2024-11-14,CUST001764,55,東京都,"東野圭吾ミステリー",小説,2265,2,4530,楽天ペイ,0,0,4530
ORD00000028,2023-08-12,CUST004483,40,静岡県,"世界史",学習参考書,3342,4,13368,クレジットカード,0,909,12459
ORD00000029,2023-09-08,CUST003519,30,埼玉県,"クラウド技術",技術書,5371,5,26855,コンビニ決済,0,0,26855
ORD00000030,2023-06-17,CUST004231,30,福岡県,"世界史",学習参考書,1585,4,6340,銀行振込,0,0,6340
ORD00000031,2024-02-08,CUST004157,40,福岡県,"ビジネス週刊",雑誌,1090,1,1090,コンビニ決済,500,0,1590
ORD00000032,2024-04-19,CUST004428,25,静岡県,"鬼滅の刃",漫画,677,1,677,銀行振込,500,456,721
ORD00000033,2023-11-09,CUST004118,20,千葉県,"クラウド技術",技術書,5227,4,20908,Amazon Pay,0,0,20908
ORD00000034,2024-03-29,CUST002674,60,福岡県,"村上春樹作品集",小説,2133,4,8532,楽天ペイ,0,0,8532
ORD00000035,2024-09-29,CUST004422,18,大阪府,"鬼滅の刃",漫画,602,1,602,楽天ペイ,500,0,1102
ORD00000036,2024-04-22,CUST004354,30,静岡県,"冒険小説",児童書,1173,5,5865,クレジットカード,0,0,5865
ORD00000037,2023-08-07,CUST002418,40,千葉県,"現代文読解",学習参考書,3667,4,14668,楽天ペイ,0,0,14668
ORD00000038,2024-04-30,CUST003680,40,兵庫県,"月刊誌B",雑誌,650,4,2600,コンビニ決済,0,0,2600
ORD00000039,2024-11-10,CUST003886,30,埼玉県,"東野圭吾ミステリー",小説,1776,2,3552,銀行振込,0,0,3552
ORD00000040,2023-02-08,CUST004098,20,愛知県,"絵本シリーズ",児童書,799,3,2397,楽天ペイ,0,658,1739
ORD00000041,2023-08-02,CUST000704,25,東京都,"ガーデニング入門",実用書,1107,3,3321,クレジットカード,0,0,3321
ORD00000042,2023-09-20,CUST003871,60,埼玉県,"ガーデニング入門",実用書,1018,1,1018,銀行振込,500,767,751
ORD00000043,2024-09-18,CUST004940,19,愛知県,"DIY実践",実用書,1355,2,2710,コンビニ決済,0,574,2136
ORD00000044,2023-03-23,CUST001873,60,愛知県,"成功への道筋",ビジネス,3194,2,6388,コンビニ決済,0,0,6388
ORD00000045,2023-08-06,CUST003781,45,北海道,"リーン・スタートアップ",ビジネス,3446,2,6892,クレジットカード,0,121,6771
ORD00000046,2023-11-27,CUST004017,45,愛知県,"絵本シリーズ",児童書,921,1,921,銀行振込,500,203,1218
ORD00000047,2023-03-28,CUST003783,35,愛知県,"世界名作劇場",児童書,809,2,1618,PayPay,500,857,1261
ORD00000048,2024-05-23,CUST004744,45,千葉県,"月刊誌B",雑誌,493,1,493,クレジットカード,500,110,883
ORD00000049,2023-04-26,CUST003325,55,兵庫県,"物理基礎",学習参考書,2744,4,10976,Amazon Pay,0,0,10976
ORD00000050,2023-03-02,CUST003531,25,北海道,"月刊誌B",雑誌,1051,3,3153,コンビニ決済,0,0,3153
ORD00000051,2023-02-21,CUST000490,50,愛知県,"投資入門",実用書,1312,3,3936,PayPay,0,0,3936
ORD00000052,2024-07-14,CUST003171,55,神奈川県,"DIY実践",実用書,2053,2,4106,PayPay,0,0,4106
ORD00000053,2023-05-10,CUST004079,19,静岡県,"東野圭吾ミステリー",小説,2334,2,4668,クレジットカード,0,0,4668
ORD00000054,2023-04-27,CUST001291,25,静岡県,"ワンピース",漫画,780,3,2340,楽天ペイ,0,0,2340
ORD00000055,2023-10-28,CUST001154,20,埼玉県,"リーン・スタートアップ",ビジネス,1215,3,3645,コンビニ決済,0,0,3645
ORD00000056,2023-06-15,CUST000959,20,千葉県,"科学図鑑",児童書,1012,5,5060,銀行振込,0,0,5060
ORD00000057,2023-07-26,CUST000468,35,静岡県,"呪術廻戦",漫画,510,2,1020,Amazon Pay,500,716,804
ORD00000058,2023-06-08,CUST001676,40,福岡県,"進撃の巨人",漫画,551,3,1653,楽天ペイ,500,0,2153
ORD00000059,2024-11-27,CUST004550,40,東京都,"絵本シリーズ",児童書,804,1,804,PayPay,500,0,1304
ORD00000060,2023-07-15,CUST003994,35,福岡県,"7つの習慣",ビジネス,1268,5,6340,銀行振込,0,0,6340
ORD00000061,2024-04-28,CUST002888,65,福岡県,"学習漫画",児童書,1768,4,7072,楽天ペイ,0,0,7072
ORD00000062,2024-11-22,CUST001127,55,静岡県,"物理基礎",学習参考書,3720,5,18600,銀行振込,0,764,17836
ORD00000063,2023-12-28,CUST001564,50,大阪府,"ガーデニング入門",実用書,1598,3,4794,PayPay,0,802,3992
ORD00000064,2023-06-24,CUST002864,60,愛知県,"週刊誌A",雑誌,545,3,1635,銀行振込,500,0,2135
ORD00000065,2023-12-13,CUST001821,65,北海道,"7つの習慣",ビジネス,1929,3,5787,コンビニ決済,0,0,5787
ORD00000066,2024-01-02,CUST003292,50,大阪府,"JavaScript入門",技術書,3545,4,14180,PayPay,0,0,14180
ORD00000067,2024-09-18,CUST002336,50,福岡県,"世界史",学習参考書,2669,5,13345,楽天ペイ,0,0,13345
ORD00000068,2023-01-12,CUST003486,20,大阪府,"データベース設計",技術書,4830,2,9660,PayPay,0,0,9660
ORD00000069,2024-06-07,CUST000219,55,兵庫県,"ドラゴンボール",漫画,717,2,1434,Amazon Pay,500,994,940
ORD00000070,2024-10-25,CUST002209,55,千葉県,"投資入門",実用書,2610,1,2610,コンビニ決済,0,341,2269
ORD00000071,2024-01-27,CUST000713,30,埼玉県,"学習漫画",児童書,1564,3,4692,PayPay,0,0,4692
ORD00000072,2023-03-14,CUST001118,19,東京都,"JavaScript入門",技術書,5831,3,17493,PayPay,0,0,17493
ORD00000073,2023-02-19,CUST002000,60,大阪府,"クラウド技術",技術書,4340,2,8680,楽天ペイ,0,0,8680
ORD00000074,2024-09-06,CUST004147,55,大阪府,"呪術廻戦",漫画,638,5,3190,PayPay,0,0,3190
ORD00000075,2023-04-18,CUST002424,25,静岡県,"東野圭吾ミステリー",小説,1928,4,7712,PayPay,0,0,7712
ORD00000076,2023-02-17,CUST000287,60,福岡県,"データベース設計",技術書,5975,3,17925,Amazon Pay,0,0,17925
ORD00000077,2023-05-10,CUST002488,25,静岡県,"投資入門",実用書,1823,2,3646,PayPay,0,0,3646
ORD00000078,2024-07-23,CUST001911,20,千葉県,"冒険小説",児童書,634,4,2536,楽天ペイ,0,0,2536
ORD00000079,2024-04-19,CUST002621,18,兵庫県,"投資入門",実用書,1982,2,3964,Amazon Pay,0,760,3204
ORD00000080,2024-08-06,CUST001123,18,東京都,"投資入門",実用書,2283,5,11415,銀行振込,0,0,11415
ORD00000081,2024-07-12,CUST003890,19,兵庫県,"DIY実践",実用書,1497,5,7485,コンビニ決済,0,0,7485
ORD00000082,2023-04-01,CUST001195,50,北海道,"JavaScript入門",技術書,5199,5,25995,PayPay,0,0,25995
ORD00000083,2023-08-18,CUST001259,65,千葉県,"芥川龍之介短編集",小説,2462,2,4924,コンビニ決済,0,0,4924
ORD00000084,2024-07-06,CUST000110,19,北海道,"健康管理法",実用書,1271,3,3813,銀行振込,0,0,3813
ORD00000085,2024-07-13,CUST001578,40,埼玉県,"学習漫画",児童書,1382,4,5528,コンビニ決済,0,0,5528
ORD00000086,2024-08-18,CUST003105,65,愛知県,"健康管理法",実用書,1588,3,4764,クレジットカード,0,0,4764
ORD00000087,2024-10-16,CUST000668,50,福岡県,"ドラッカー経営学",ビジネス,3170,1,3170,コンビニ決済,0,0,3170
ORD00000088,2023-02-06,CUST002661,20,神奈川県,"Python実践ガイド",技術書,5590,5,27950,Amazon Pay,0,0,27950
ORD00000089,2023-09-12,CUST002849,35,神奈川県,"世界史",学習参考書,3578,5,17890,クレジットカード,0,276,17614
ORD00000090,2023-03-02,CUST000315,50,静岡県,"絵本シリーズ",児童書,1729,4,6916,Amazon Pay,0,0,6916
ORD00000091,2023-04-18,CUST000867,20,兵庫県,"鬼滅の刃",漫画,704,5,3520,楽天ペイ,0,0,3520
ORD00000092,2023-08-02,CUST003831,35,兵庫県,"ワンピース",漫画,781,1,781,PayPay,500,0,1281
ORD00000093,2024-09-21,CUST001123,40,東京都,"週刊誌A",雑誌,734,2,1468,コンビニ決済,500,0,1968
ORD00000094,2024-01-11,CUST003974,35,千葉県,"リーン・スタートアップ",ビジネス,1828,2,3656,楽天ペイ,0,688,2968
ORD00000095,2023-01-01,CUST000324,50,静岡県,"村上春樹作品集",小説,1808,2,3616,楽天ペイ,0,0,3616
ORD00000096,2024-09-06,CUST001945,45,神奈川県,"健康管理法",実用書,2449,5,12245,Amazon Pay,0,0,12245
ORD00000097,2024-01-23,CUST003580,20,千葉県,"東野圭吾ミステリー",小説,1041,4,4164,PayPay,0,0,4164
ORD00000098,2024-10-05,CUST003148,55,愛知県,"世界名作劇場",児童書,1728,5,8640,Amazon Pay,0,795,7845
ORD00000099,2023-01-01,CUST000130,25,埼玉県,"ワンピース",漫画,764,4,3056,銀行振込,0,0,3056
ORD00000100,2023-10-30,CUST000072,65,埼玉県,"ビジネス週刊",雑誌,368,2,736,PayPay,500,867,369
ORD00000101,2023-03-11,CUST003419,35,北海道,"世界名作劇場",児童書,1278,5,6390,銀行振込,0,0,6390
ORD00000102,2024-05-08,CUST002410,19,福岡県,"ドラッカー経営学",ビジネス,3437,3,10311,PayPay,0,0,10311
ORD00000103,2023-04-13,CUST000801,55,千葉県,"データベース設計",技術書,5086,1,5086,コンビニ決済,0,0,5086
ORD00000104,2023-10-11,CUST000097,19,埼玉県,"ファッション誌",雑誌,659,3,1977,楽天ペイ,500,0,2477
ORD00000105,2023-05-24,CUST004019,35,大阪府,"学習漫画",児童書,1562,1,1562,クレジットカード,500,697,1365
ORD00000106,2024-03-17,CUST003863,35,兵庫県,"クラウド技術",技術書,5092,5,25460,Amazon Pay,0,968,24492
ORD00000107,2023-08-19,CUST001950,30,神奈川県,"IT情報誌",雑誌,483,3,1449,Amazon Pay,500,0,1949
ORD00000108,2024-08-03,CUST001157,55,静岡県,"AI・機械学習",技術書,5758,4,23032,コンビニ決済,0,0,23032
ORD00000109,2023-05-17,CUST001622,60,東京都,"高校数学",学習参考書,2729,3,8187,楽天ペイ,0,0,8187
ORD00000110,2024-09-09,CUST001750,18,東京都,"世界名作劇場",児童書,1179,4,4716,Amazon Pay,0,158,4558
ORD00000111,2023-09-30,CUST002302,45,北海道,"Python実践ガイド",技術書,5317,1,5317,クレジットカード,0,0,5317
ORD00000112,2024-09-22,CUST000533,60,東京都,"IT情報誌",雑誌,554,3,1662,銀行振込,500,0,2162
ORD00000113,2024-10-13,CUST004908,20,東京都,"学習漫画",児童書,1643,5,8215,クレジットカード,0,0,8215
ORD00000114,2024-01-23,CUST004884,60,静岡県,"リーン・スタートアップ",ビジネス,1340,4,5360,楽天ペイ,0,575,4785
ORD00000115,2023-01-01,CUST000661,50,埼玉県,"英語文法",学習参考書,1740,3,5220,PayPay,0,547,4673
ORD00000116,2024-07-07,CUST000596,30,東京都,"絵本シリーズ",児童書,1146,4,4584,楽天ペイ,0,0,4584
ORD00000117,2023-02-08,CUST000346,55,福岡県,"クラウド技術",技術書,4838,1,4838,Amazon Pay,0,0,4838
ORD00000118,2023-12-24,CUST002003,50,神奈川県,"月刊誌B",雑誌,489,1,489,PayPay,500,0,989
ORD00000119,2024-02-28,CUST003863,45,福岡県,"投資入門",実用書,1616,5,8080,クレジットカード,0,0,8080
ORD00000120,2023-04-14,CUST003919,50,北海道,"月刊誌B",雑誌,1134,1,1134,クレジットカード,500,0,1634
ORD00000121,2023-11-06,CUST000001,65,神奈川県,"太宰治名作選",小説,1740,3,5220,Amazon Pay,0,0,5220
ORD00000122,2024-10-27,CUST004746,40,千葉県,"英語文法",学習参考書,1786,5,8930,PayPay,0,0,8930
ORD00000123,2023-09-25,CUST004888,19,千葉県,"AI・機械学習",技術書,3458,1,3458,PayPay,0,0,3458
ORD00000124,2024-07-31,CUST004257,55,東京都,"ワンピース",漫画,578,1,578,楽天ペイ,500,0,1078
ORD00000125,2023-11-12,CUST001525,19,静岡県,"絵本シリーズ",児童書,1251,5,6255,クレジットカード,0,222,6033
ORD00000126,2023-04-12,CUST001106,35,愛知県,"ファッション誌",雑誌,628,5,3140,PayPay,0,0,3140
ORD00000127,2024-03-07,CUST002001,40,千葉県,"現代文読解",学習参考書,2210,4,8840,コンビニ決済,0,0,8840
ORD00000128,2023-02-20,CUST002935,50,兵庫県,"ガーデニング入門",実用書,1667,1,1667,コンビニ決済,500,0,2167
ORD00000129,2024-06-21,CUST004189,19,兵庫県,"ドラッカー経営学",ビジネス,1457,2,2914,クレジットカード,0,0,2914
ORD00000130,2024-11-13,CUST001269,25,福岡県,"世界名作劇場",児童書,768,3,2304,Amazon Pay,0,495,1809
ORD00000131,2024-07-30,CUST003009,25,大阪府,"週刊誌A",雑誌,699,5,3495,Amazon Pay,0,0,3495
ORD00000132,2024-09-08,CUST000192,65,埼玉県,"JavaScript入門",技術書,4271,2,8542,楽天ペイ,0,428,8114
ORD00000133,2023-04-05,CUST004611,50,静岡県,"投資入門",実用書,2217,5,11085,銀行振込,0,0,11085
ORD00000134,2024-10-20,CUST004690,45,東京都,"投資入門",実用書,2360,5,11800,銀行振込,0,0,11800
ORD00000135,2024-12-16,CUST001005,65,神奈川県,"世界史",学習参考書,3326,2,6652,クレジットカード,0,0,6652
ORD00000136,2024-05-29,CUST000832,60,神奈川県,"呪術廻戦",漫画,616,2,1232,PayPay,500,0,1732
ORD00000137,2023-02-18,CUST002593,65,福岡県,"健康管理法",実用書,2599,3,7797,楽天ペイ,0,0,7797
ORD00000138,2023-10-31,CUST002383,65,埼玉県,"ドラゴンボール",漫画,661,2,1322,Amazon Pay,500,915,907
ORD00000139,2024-09-07,CUST004601,25,福岡県,"成功への道筋",ビジネス,2700,4,10800,PayPay,0,678,10122
ORD00000140,2024-06-03,CUST003935,50,北海道,"データベース設計",技術書,5471,1,5471,銀行振込,0,0,5471
ORD00000141,2024-07-26,CUST003779,20,神奈川県,"IT情報誌",雑誌,805,1,805,Amazon Pay,500,0,1305
ORD00000142,2024-07-12,CUST004523,19,北海道,"高校数学",学習参考書,2091,4,8364,Amazon Pay,0,0,8364
ORD00000143,2024-07-28,CUST004591,19,福岡県,"進撃の巨人",漫画,503,1,503,PayPay,500,0,1003
ORD00000144,2023-05-03,CUST003262,19,千葉県,"世界史",学習参考書,1761,1,1761,コンビニ決済,500,807,1454
ORD00000145,2024-07-16,CUST001792,20,兵庫県,"ファッション誌",雑誌,485,1,485,コンビニ決済,500,0,985
ORD00000146,2024-07-02,CUST001834,55,兵庫県,"学習漫画",児童書,1265,5,6325,楽天ペイ,0,0,6325
ORD00000147,2024-03-26,CUST001497,30,福岡県,"科学図鑑",児童書,1628,2,3256,コンビニ決済,0,0,3256
ORD00000148,2023-01-20,CUST002240,35,東京都,"ワンピース",漫画,685,1,685,PayPay,500,0,1185
ORD00000149,2024-05-18,CUST004299,50,福岡県,"物理基礎",学習参考書,1633,5,8165,Amazon Pay,0,0,8165
ORD00000150,2023-07-15,CUST002987,30,福岡県,"英語文法",学習参考書,2448,3,7344,Amazon Pay,0,0,7344
ORD00000151,2023-02-08,CUST002169,30,大阪府,"冒険小説",児童書,1074,5,5370,銀行振込,0,0,5370
ORD00000152,2023-05-11,CUST003850,30,東京都,"世界史",学習参考書,2412,3,7236,Amazon Pay,0,265,6971
ORD00000153,2023-06-06,CUST000063,20,北海道,"村上春樹作品集",小説,1253,1,1253,コンビニ決済,500,0,1753
ORD00000154,2024-02-12,CUST002570,18,福岡県,"村上春樹作品集",小説,2008,5,10040,クレジットカード,0,0,10040
ORD00000155,2024-05-05,CUST000961,40,大阪府,"東野圭吾ミステリー",小説,2174,4,8696,楽天ペイ,0,0,8696
ORD00000156,2023-09-01,CUST000317,45,大阪府,"現代文読解",学習参考書,3619,4,14476,銀行振込,0,0,14476
ORD00000157,2023-06-13,CUST003740,50,千葉県,"世界名作劇場",児童書,1628,5,8140,銀行振込,0,840,7300
ORD00000158,2023-03-19,CUST000377,18,神奈川県,"絵本シリーズ",児童書,781,3,2343,コンビニ決済,0,536,1807
ORD00000159,2023-03-23,CUST004081,45,愛知県,"IT情報誌",雑誌,777,5,3885,PayPay,0,0,3885
ORD00000160,2023-04-30,CUST003897,40,神奈川県,"ビジネス週刊",雑誌,500,1,500,Amazon Pay,500,0,1000
ORD00000161,2023-11-11,CUST002194,50,北海道,"冒険小説",児童書,1458,2,2916,PayPay,0,0,2916
ORD00000162,2024-07-05,CUST002027,19,神奈川県,"週刊誌A",雑誌,1047,3,3141,銀行振込,0,752,2389
ORD00000163,2023-05-12,CUST004217,55,千葉県,"投資入門",実用書,1992,3,5976,コンビニ決済,0,0,5976
ORD00000164,2023-06-24,CUST000709,20,大阪府,"現代文読解",学習参考書,2135,3,6405,コンビニ決済,0,0,6405
ORD00000165,2024-03-09,CUST001989,55,兵庫県,"世界名作劇場",児童書,660,2,1320,クレジットカード,500,0,1820
ORD00000166,2024-09-25,CUST001052,50,神奈川県,"太宰治名作選",小説,2167,5,10835,PayPay,0,744,10091
ORD00000167,2024-04-12,CUST004903,65,福岡県,"リーン・スタートアップ",ビジネス,2288,5,11440,Amazon Pay,0,0,11440
ORD00000168,2023-04-13,CUST004013,40,東京都,"成功への道筋",ビジネス,1404,5,7020,Amazon Pay,0,0,7020
ORD00000169,2024-03-25,CUST002141,60,北海道,"週刊誌A",雑誌,1041,4,4164,クレジットカード,0,0,4164
ORD00000170,2024-06-19,CUST004206,55,大阪府,"IT情報誌",雑誌,1032,4,4128,PayPay,0,0,4128
ORD00000171,2023-01-23,CUST003908,19,愛知県,"冒険小説",児童書,1325,3,3975,PayPay,0,0,3975
ORD00000172,2024-07-26,CUST004947,20,千葉県,"科学図鑑",児童書,705,3,2115,銀行振込,0,323,1792
ORD00000173,2024-06-02,CUST003268,18,愛知県,"Python実践ガイド",技術書,2821,2,5642,Amazon Pay,0,0,5642
ORD00000174,2023-04-20,CUST004421,40,大阪府,"クラウド技術",技術書,5028,5,25140,楽天ペイ,0,0,25140
ORD00000175,2023-09-07,CUST002896,25,兵庫県,"リーン・スタートアップ",ビジネス,2324,1,2324,銀行振込,0,881,1443
ORD00000176,2023-05-31,CUST000751,40,大阪府,"呪術廻戦",漫画,560,5,2800,楽天ペイ,0,0,2800
ORD00000177,2023-02-12,CUST004796,65,静岡県,"物理基礎",学習参考書,1586,3,4758,楽天ペイ,0,473,4285
ORD00000178,2024-07-19,CUST003026,25,大阪府,"現代文読解",学習参考書,2497,1,2497,PayPay,0,0,2497
ORD00000179,2023-03-07,CUST000904,30,神奈川県,"物理基礎",学習参考書,1500,1,1500,コンビニ決済,500,313,1687
ORD00000180,2024-12-03,CUST004001,65,兵庫県,"芥川龍之介短編集",小説,1640,1,1640,Amazon Pay,500,801,1339
ORD00000181,2023-08-13,CUST000740,35,大阪府,"ドラッカー経営学",ビジネス,2059,1,2059,コンビニ決済,0,0,2059
ORD00000182,2023-09-25,CUST000792,19,神奈川県,"ドラッカー経営学",ビジネス,2329,3,6987,楽天ペイ,0,267,6720
ORD00000183,2024-07-18,CUST000734,55,神奈川県,"リーン・スタートアップ",ビジネス,1501,4,6004,PayPay,0,0,6004
ORD00000184,2023-08-27,CUST002741,30,千葉県,"世界名作劇場",児童書,1434,1,1434,クレジットカード,500,516,1418
ORD00000185,2023-03-07,CUST003373,55,福岡県,"月刊誌B",雑誌,880,2,1760,銀行振込,500,0,2260
ORD00000186,2023-08-11,CUST004266,30,兵庫県,"夏目漱石全集",小説,2023,1,2023,楽天ペイ,0,0,2023
ORD00000187,2023-08-23,CUST002467,20,北海道,"Python実践ガイド",技術書,5000,1,5000,銀行振込,0,0,5000
ORD00000188,2024-03-12,CUST003924,35,東京都,"ガーデニング入門",実用書,1990,4,7960,クレジットカード,0,0,7960
ORD00000189,2024-01-03,CUST000827,19,愛知県,"夏目漱石全集",小説,2228,4,8912,コンビニ決済,0,161,8751
ORD00000190,2024-01-27,CUST000118,35,埼玉県,"東野圭吾ミステリー",小説,2152,2,4304,クレジットカード,0,0,4304
ORD00000191,2023-07-24,CUST004552,20,東京都,"Python実践ガイド",技術書,3098,3,9294,クレジットカード,0,419,8875
ORD00000192,2024-01-29,CUST003673,55,兵庫県,"世界史",学習参考書,2209,1,2209,楽天ペイ,0,0,2209
ORD00000193,2024-09-05,CUST002416,30,北海道,"ドラッカー経営学",ビジネス,1421,2,2842,クレジットカード,0,351,2491
ORD00000194,2024-06-12,CUST002672,40,福岡県,"芥川龍之介短編集",小説,1611,5,8055,クレジットカード,0,277,7778
ORD00000195,2024-09-07,CUST000481,60,北海道,"JavaScript入門",技術書,2566,5,12830,クレジットカード,0,0,12830
ORD00000196,2024-11-30,CUST001263,20,東京都,"冒険小説",児童書,1320,5,6600,銀行振込,0,0,6600
ORD00000197,2023-06-14,CUST000210,60,埼玉県,"鬼滅の刃",漫画,610,5,3050,銀行振込,0,0,3050
ORD00000198,2024-11-04,CUST004766,60,北海道,"学習漫画",児童書,1423,4,5692,銀行振込,0,0,5692
ORD00000199,2023-11-08,CUST004136,18,兵庫県,"週刊誌A",雑誌,394,4,1576,PayPay,500,0,2076
ORD00000200,2024-02-27,CUST003004,50,神奈川県,"リーン・スタートアップ",ビジネス,2202,4,8808,コンビニ決済,0,945,7863
ORD00000201,2023-09-30,CUST003781,45,千葉県,"世界名作劇場",児童書,1119,5,5595,クレジットカード,0,0,5595
ORD00000202,2023-10-09,CUST002239,65,静岡県,"鬼滅の刃",漫画,635,3,1905,銀行振込,500,0,2405
ORD00000203,2024-07-07,CUST003936,45,神奈川県,"世界史",学習参考書,3115,3,9345,コンビニ決済,0,733,8612
ORD00000204,2024-05-08,CUST004349,18,北海道,"ワンピース",漫画,754,4,3016,PayPay,0,0,3016
ORD00000205,2024-02-03,CUST000119,19,北海道,"東野圭吾ミステリー",小説,813,4,3252,楽天ペイ,0,388,2864
ORD00000206,2023-01-19,CUST003458,50,福岡県,"呪術廻戦",漫画,652,2,1304,楽天ペイ,500,166,1638
ORD00000207,2023-08-10,CUST000633,20,埼玉県,"DIY実践",実用書,1888,1,1888,クレジットカード,500,746,1642
ORD00000208,2023-10-17,CUST002867,25,東京都,"健康管理法",実用書,1743,1,1743,Amazon Pay,500,0,2243
ORD00000209,2023-03-06,CUST004596,65,東京都,"英語文法",学習参考書,3320,5,16600,PayPay,0,871,15729
ORD00000210,2024-03-05,CUST004568,20,神奈川県,"健康管理法",実用書,1687,5,8435,銀行振込,0,138,8297
ORD00000211,2023-08-14,CUST003083,25,東京都,"物理基礎",学習参考書,3575,5,17875,楽天ペイ,0,0,17875
ORD00000212,2024-09-30,CUST002755,50,千葉県,"週刊誌A",雑誌,656,4,2624,Amazon Pay,0,0,2624
ORD00000213,2024-02-03,CUST004460,20,千葉県,"リーン・スタートアップ",ビジネス,2612,4,10448,銀行振込,0,903,9545
ORD00000214,2024-01-18,CUST004327,35,北海道,"学習漫画",児童書,1082,2,2164,コンビニ決済,0,0,2164
ORD00000215,2023-08-22,CUST000454,18,福岡県,"データベース設計",技術書,4300,2,8600,楽天ペイ,0,0,8600
ORD00000216,2023-09-01,CUST000646,20,東京都,"リーン・スタートアップ",ビジネス,2094,3,6282,銀行振込,0,906,5376
ORD00000217,2024-02-11,CUST000830,40,千葉県,"科学図鑑",児童書,726,1,726,楽天ペイ,500,0,1226
ORD00000218,2023-11-07,CUST002124,25,神奈川県,"投資入門",実用書,2797,1,2797,銀行振込,0,951,1846
ORD00000219,2023-11-27,CUST002739,45,埼玉県,"呪術廻戦",漫画,625,4,2500,銀行振込,0,0,2500
ORD00000220,2023-11-18,CUST003509,19,千葉県,"投資入門",実用書,1013,5,5065,コンビニ決済,0,612,4453
ORD00000221,2024-01-24,CUST003126,30,福岡県,"Python実践ガイド",技術書,5889,4,23556,PayPay,0,737,22819
ORD00000222,2023-11-21,CUST004143,40,千葉県,"絵本シリーズ",児童書,666,5,3330,クレジットカード,0,0,3330
ORD00000223,2023-07-16,CUST000760,20,静岡県,"DIY実践",実用書,1526,2,3052,クレジットカード,0,992,2060
ORD00000224,2024-05-06,CUST001583,65,兵庫県,"村上春樹作品集",小説,2015,2,4030,PayPay,0,0,4030
ORD00000225,2024-12-28,CUST002004,60,静岡県,"学習漫画",児童書,1013,1,1013,クレジットカード,500,0,1513
